open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
424.0,441.0,424.0,437.0,189449.0,,,437.0,,,1.0,0.0,POLR.L,XLON,2025-06-03T00:00:00+0000
,,,438.5,40146.0,,,438.5,,,1.0,0.0,POLR.L,XLON,2025-06-02T00:00:00+0000
,,,424.0,298376.0,,,424.0,,,1.0,0.0,POLR.L,XLON,2025-05-30T00:00:00+0000
404.5,432.18,404.5,425.0,261007.0,,,425.0,,,1.0,0.0,POLR.L,XLON,2025-05-29T00:00:00+0000
425.0,427.5,415.0,420.0,295308.0,,,420.0,,,1.0,0.0,POLR.L,XLON,2025-05-28T00:00:00+0000
420.0,427.5,411.5,425.0,194114.0,,,425.0,,,1.0,0.0,POLR.L,XLON,2025-05-27T00:00:00+0000
419.5,423.5,400.059,410.0,237020.0,,,410.0,,,1.0,0.0,POLR.L,XLON,2025-05-23T00:00:00+0000
,,,420.5,18971.0,,,420.5,,,1.0,0.0,POLR.L,XLON,2025-05-22T00:00:00+0000
,,,422.5,204.0,,,422.5,,,1.0,0.0,POLR.L,XLON,2025-05-21T00:00:00+0000
,,,424.5,2000.0,,,424.5,,,1.0,0.0,POLR.L,XLON,2025-05-20T00:00:00+0000
,,,411.5,17985.0,,,411.5,,,1.0,0.0,POLR.L,XLON,2025-05-19T00:00:00+0000
412.0,424.2784,406.5,412.29,293305.0,,,412.29,,,1.0,0.0,POLR.L,XLON,2025-05-16T00:00:00+0000
408.0,413.0,403.0,409.5,373132.0,,,409.5,,,1.0,0.0,POLR.L,XLON,2025-05-08T00:00:00+0000
395.0,408.5,395.0,407.5,126518.0,,,407.5,,,1.0,0.0,POLR.L,XLON,2025-05-07T00:00:00+0000
404.0,408.0,389.0,405.0,369221.0,,,405.0,,,1.0,0.0,POLR.L,XLON,2025-05-06T00:00:00+0000
394.5,404.0,378.0,404.0,180413.0,,,404.0,,,1.0,0.0,POLR.L,XLON,2025-05-02T00:00:00+0000
398.5,398.5,375.5,393.5,254055.0,,,393.5,,,1.0,0.0,POLR.L,XLON,2025-05-01T00:00:00+0000
375.0,398.5,375.0,392.0,366351.0,,,392.0,,,1.0,0.0,POLR.L,XLON,2025-04-30T00:00:00+0000
383.0,393.5,365.5,392.0,163686.0,,,392.0,,,1.0,0.0,POLR.L,XLON,2025-04-29T00:00:00+0000
375.0,389.5,371.286,378.5,130779.0,,,378.5,,,1.0,0.0,POLR.L,XLON,2025-04-28T00:00:00+0000
387.5,387.5,364.0,374.5,329270.0,,,374.5,,,1.0,0.0,POLR.L,XLON,2025-04-25T00:00:00+0000
363.5,383.0,363.5,372.5,362241.0,,,372.5,,,1.0,0.0,POLR.L,XLON,2025-04-24T00:00:00+0000
366.5,384.5,352.0,383.5,521784.0,,,383.5,,,1.0,0.0,POLR.L,XLON,2025-04-23T00:00:00+0000
375.0,375.0,356.0,366.0,478295.0,,,366.0,,,1.0,0.0,POLR.L,XLON,2025-04-22T00:00:00+0000
371.0,375.0,353.0,367.0,137754.0,,,367.0,,,1.0,0.0,POLR.L,XLON,2025-04-17T00:00:00+0000
364.0,382.5,354.0,366.5,258745.0,,,366.5,,,1.0,0.0,POLR.L,XLON,2025-04-16T00:00:00+0000
364.5,384.0,364.5,369.0,391006.0,,,369.0,,,1.0,0.0,POLR.L,XLON,2025-04-15T00:00:00+0000
368.5,379.5,363.5,375.0,333997.0,,,375.0,,,1.0,0.0,POLR.L,XLON,2025-04-14T00:00:00+0000
358.5,370.0,351.0,364.5,197707.0,,,364.5,,,1.0,0.0,POLR.L,XLON,2025-04-11T00:00:00+0000
372.0,400.0,357.0,360.5,497003.0,,,360.5,,,1.0,0.0,POLR.L,XLON,2025-04-10T00:00:00+0000
364.0,364.5,349.0,361.5,239175.0,,,361.5,,,1.0,0.0,POLR.L,XLON,2025-04-09T00:00:00+0000
353.5,373.5,352.0,370.5,905398.0,,,370.5,,,1.0,0.0,POLR.L,XLON,2025-04-08T00:00:00+0000
362.5,376.5,340.5,350.0,678755.0,,,350.0,,,1.0,0.0,POLR.L,XLON,2025-04-07T00:00:00+0000
400.5,410.0,365.5,370.0,1077288.0,,,370.0,,,1.0,0.0,POLR.L,XLON,2025-04-04T00:00:00+0000
413.5,417.5,402.5,403.0,263114.0,,,403.0,,,1.0,0.0,POLR.L,XLON,2025-04-03T00:00:00+0000
417.5,423.5,412.0,419.5,176581.0,,,419.5,,,1.0,0.0,POLR.L,XLON,2025-04-02T00:00:00+0000
424.5,445.5,419.0,419.0,183994.0,,,419.0,,,1.0,0.0,POLR.L,XLON,2025-04-01T00:00:00+0000
442.0,459.0,423.0,427.0,233545.0,,,427.0,,,1.0,0.0,POLR.L,XLON,2025-03-31T00:00:00+0000
459.5,459.5,435.0,446.5,107874.0,,,446.5,,,1.0,0.0,POLR.L,XLON,2025-03-28T00:00:00+0000
430.0,460.0,430.0,447.0,56811.0,,,447.0,,,1.0,0.0,POLR.L,XLON,2025-03-27T00:00:00+0000
460.0,460.0,447.5,448.0,122016.0,,,448.0,,,1.0,0.0,POLR.L,XLON,2025-03-26T00:00:00+0000
446.5,455.0,440.0,449.0,133351.0,,,449.0,,,1.0,0.0,POLR.L,XLON,2025-03-25T00:00:00+0000
440.5,447.5,428.5,443.0,257753.0,,,443.0,,,1.0,0.0,POLR.L,XLON,2025-03-24T00:00:00+0000
450.0,450.0,428.0,436.5,359465.0,,,436.5,,,1.0,0.0,POLR.L,XLON,2025-03-21T00:00:00+0000
450.0,450.0,431.154,437.5,109030.0,,,437.5,,,1.0,0.0,POLR.L,XLON,2025-03-20T00:00:00+0000
429.0,439.0,421.0,439.0,131763.0,,,439.0,,,1.0,0.0,POLR.L,XLON,2025-03-19T00:00:00+0000
433.5,450.0,429.0,433.0,347473.0,,,433.0,,,1.0,0.0,POLR.L,XLON,2025-03-18T00:00:00+0000
433.5,446.0,427.5,433.0,100060.0,,,433.0,,,1.0,0.0,POLR.L,XLON,2025-03-17T00:00:00+0000
425.0,435.0,421.0,433.5,162634.0,,,433.5,,,1.0,0.0,POLR.L,XLON,2025-03-14T00:00:00+0000
420.0,432.0,420.0,421.0,898185.0,,,421.0,,,1.0,0.0,POLR.L,XLON,2025-03-13T00:00:00+0000
427.0,432.0,420.0,429.0,141059.0,,,429.0,,,1.0,0.0,POLR.L,XLON,2025-03-12T00:00:00+0000
428.5,434.0,424.0,424.5,204299.0,,,424.5,,,1.0,0.0,POLR.L,XLON,2025-03-11T00:00:00+0000
438.0,445.0,427.0,428.5,135774.0,,,428.5,,,1.0,0.0,POLR.L,XLON,2025-03-10T00:00:00+0000
432.5,448.5,429.5,438.5,205190.0,,,438.5,,,1.0,0.0,POLR.L,XLON,2025-03-07T00:00:00+0000
420.5,442.5,420.5,435.5,200906.0,,,435.5,,,1.0,0.0,POLR.L,XLON,2025-03-06T00:00:00+0000
420.0,436.0,420.0,428.0,168240.0,,,428.0,,,1.0,0.0,POLR.L,XLON,2025-03-05T00:00:00+0000
434.0,451.0,424.0,424.5,224299.0,,,424.5,,,1.0,0.0,POLR.L,XLON,2025-03-04T00:00:00+0000
449.5,452.567,438.89,441.5,290017.0,,,441.5,,,1.0,0.0,POLR.L,XLON,2025-03-03T00:00:00+0000
457.5,474.0,439.0,439.0,384847.0,,,439.0,,,1.0,0.0,POLR.L,XLON,2025-02-28T00:00:00+0000
466.5,482.5,457.5,460.0,167264.0,,,460.0,,,1.0,0.0,POLR.L,XLON,2025-02-27T00:00:00+0000
467.0,485.0,467.0,472.5,98563.0,,,472.5,,,1.0,0.0,POLR.L,XLON,2025-02-26T00:00:00+0000
478.5,497.76,465.5,465.5,103566.0,,,465.5,,,1.0,0.0,POLR.L,XLON,2025-02-25T00:00:00+0000
487.0,491.0,473.0,477.0,137617.0,,,477.0,,,1.0,0.0,POLR.L,XLON,2025-02-24T00:00:00+0000
484.5,497.598,484.0,486.5,42490.0,,,486.5,,,1.0,0.0,POLR.L,XLON,2025-02-21T00:00:00+0000
480.5,491.5,480.5,485.5,109715.0,,,485.5,,,1.0,0.0,POLR.L,XLON,2025-02-20T00:00:00+0000
497.0,499.5,486.0,487.5,102599.0,,,487.5,,,1.0,0.0,POLR.L,XLON,2025-02-19T00:00:00+0000
520.0,520.0,495.0,498.0,66614.0,,,498.0,,,1.0,0.0,POLR.L,XLON,2025-02-18T00:00:00+0000
502.0,508.0,490.0,497.0,101718.0,,,497.0,,,1.0,0.0,POLR.L,XLON,2025-02-17T00:00:00+0000
490.0,508.0,490.0,496.5,122221.0,,,496.5,,,1.0,0.0,POLR.L,XLON,2025-02-14T00:00:00+0000
498.5,508.0,495.0,499.5,49954.0,,,499.5,,,1.0,0.0,POLR.L,XLON,2025-02-13T00:00:00+0000
506.0,511.0,494.0,494.5,82086.0,,,494.5,,,1.0,0.0,POLR.L,XLON,2025-02-12T00:00:00+0000
500.0,504.758,497.5,499.5,97220.0,,,499.5,,,1.0,0.0,POLR.L,XLON,2025-02-11T00:00:00+0000
509.0,512.0,497.0,502.0,129652.0,,,502.0,,,1.0,0.0,POLR.L,XLON,2025-02-10T00:00:00+0000
497.5,505.0,493.388,498.0,165763.0,,,498.0,,,1.0,0.0,POLR.L,XLON,2025-02-07T00:00:00+0000
496.5,511.0,478.0,499.5,107136.0,,,499.5,,,1.0,0.0,POLR.L,XLON,2025-02-06T00:00:00+0000
